AgentID,AgentLabel,SuperSpreader,SuperFriend,GeneralInfluencer,EigenvectorCentrality,
1172274158043975680,UngylR,0.005,0,0.010,1.187e-04,
854837803,Y_Ash_S,0.005,0,0.012,8.463e-04,
406250308,2reconb_laxer,0.024,0,0.108,0.012,
971726979668918273,akira2301taji,0.011,0,0.058,0.007,
1396430820424830979,kidoudan,0.011,0,0.052,0.006,
1861388023,sutoku3,0.011,0,0.039,0.009,
1415568543970627584,ClenKell,0.078,0,0.186,0.039,
531753891,flymcaa,0.017,0,0.055,0.007,
897099537751343104,Martinacuna1965,0.017,0,0.118,0.024,
178359191,amehurashiorz,0.005,0,0.012,8.463e-04,
929584030453874688,xOELqo1QzFAQbXR,0.005,0,0.012,8.463e-04,
1263327376005451776,ilovetheGoesan,0.005,0,0.027,0.002,
147012730,youma9000,0.042,0,0.127,0.043,
327945290,riverkazoo,0.017,0,0.061,0.012,
2668928108,japanesepatrio6,0.017,0,0.067,0.011,
1180675299651907584,Ryunosuke634,0.005,0,0.012,8.463e-04,
2367458396,djsmith1716,0.030,0,0.073,0.032,
1489978528032559107,Merry09182087,0.005,0,0.011,0.006,
47921816,ariaghajar,0.005,0,0.031,0.008,
982518512630616065,Juan160628862,0.042,0,0.122,0.043,
1461826921206059020,steps_ka,0.048,0,0.152,0.043,
747855184731115520,2nd_kiki,0.005,0,0.012,8.463e-04,
1243603398,futan_futan,0.005,0,0.012,8.463e-04,
1165575239461261312,togokubooks,0.024,0,0.078,0.019,
22239585,Hanktivist,0.005,0,0.031,0.008,
178978113,eAsiaMediaHub,0.005,0,0.060,0.008,
1308366948988641280,Dezima7,0.005,0,0.011,8.463e-04,
132397046,DzirhanDefence,0.017,0,0.069,0.013,
1028670025,BackyardAviator,0.005,0,0.011,8.463e-04,
1530737568,jregain,0.011,0,0.044,0.004,
1503664429061505026,HINA_KUUTO,0.005,0,0.012,8.463e-04,
2708567180,FMangosingINQ,0.011,0,0.048,0.009,
1389266294587994117,Aaron_MatthewIL,0.011,0,0.071,0.009,
2395685646,WINDVONDERVENUS,0.036,0,0.112,0.042,
87624170,madhavanpallan,0.017,0,0.061,0.017,
1552087369,mitsuomarineone,0.005,0,0.033,0.008,
1279630596633800706,anakbayansc,0.079,0.500,0.028,0.001,
1445397158400774154,AnakbayanUK,0.079,0.500,0.023,8.352e-04,
969898586027704320,lowparvatii,0.005,0,0.005,0.001,
706087110424420353,elepsuplb,0.024,0,0.012,0.004,
716248878,chibivy,0.011,0,0.020,1.905e-04,
3307687069,CPA_Cordillera,0.092,0.500,0.038,7.224e-04,
985029721,n3dflix,0.005,0,0.024,1.367e-05,
96750689,GFC_forests,0.065,0.500,0.023,1.392e-05,
87658895,BayanMuna,0.005,0,0.023,7.937e-04,
2511882350,katribuphils,0.136,0.500,0.039,0.014,
857255720282202112,foe_togo,0.005,0,0.024,1.367e-05,
1004722948043755521,SiakNiKR,0.108,0,0.190,0.016,
1402122256520683523,PITIKPics,0.042,0,0.014,0.004,
1432532274621272066,PanaghiusaPH,0.120,0.500,0.066,0.009,
1152949239401418752,EufemiaCullamat,0.005,0,0.023,7.937e-04,
1337040795086499841,rebelysyon,0.102,0,0.207,0.015,
1493823703607832577,USARJ_PA,0.060,0.500,0.080,0.003,
1156734634257817600,38thADA,0.154,1,0.165,0.027,
1274529942366117888,YouKnowMahmood,0.005,0,0.034,0.001,
1077817320,AlumniCClub,0.006,0,0.001,0.001,
1122760625283670016,3d_Marine_Div,0.301,0,0.365,0.064,
201601822,TeamAFP,0.101,0,0.099,0.005,
637168842,LeilahniB,0.005,0,0.025,1.180e-04,
1473804356696825858,VicenteMcConvi6,0.005,0,0.029,0.002,
1058949360153649152,fu27129380,0.005,0,0.008,6.475e-05,
1266406010274471936,Kilo_7_romeo,0.042,0,0.032,8.571e-04,
1210694865706606592,951Jorgegil,0.005,0,0.029,0.002,
1285402673676722176,nfem_pao,0.011,0,0.022,1.713e-04,
1495554767598206979,OswaldVidales,0.005,0,0.029,0.002,
799969685227728897,A10_GAU8,0.005,0,0.029,0.002,
1263038801883967489,ChrisWelber,0.036,0,0.108,0.038,
1182749956307767296,VidalesOswald,0.005,0,0.029,0.002,
1418655951649972229,jr_lambeth,0.005,0,0.029,0.002,
1139775874134183937,q7_l7s,0.011,0,0.056,0.013,
892118401,spallaxo,0.030,0,0.074,0.026,
1186921798299897857,JASDF_adc_pao,0.013,0,0.011,1.523e-06,
142933969,25thID,0.005,0,0.051,0.008,
66369181,DeptofDefense,0.176,0,0.680,0.044,
1347985862160654337,Wendigo114,0.048,0,0.128,0.047,
