Node-Id,Node-Title,inDegreeCentrality-1-Balikatan_2022_Reduced,inDegreeCentrality-1-Balikatan_2022_Reduced-unscaled,inDegreeCentrality-2-Balikatan_2022_Reduced,inDegreeCentrality-2-Balikatan_2022_Reduced-unscaled,twitter-actualInfluencer-1-Balikatan_2022_Reduced,twitter-actualInfluencer-1-Balikatan_2022_Reduced-unscaled,twitter-averageMentionsPerTweet-1-Balikatan_2022_Reduced,twitter-averageMentionsPerTweet-1-Balikatan_2022_Reduced-unscaled,twitter-mostMentioned-1-Balikatan_2022_Reduced,twitter-mostMentioned-1-Balikatan_2022_Reduced-unscaled,twitter-numberOfFollowers-1-Balikatan_2022_Reduced,twitter-numberOfFollowers-1-Balikatan_2022_Reduced-unscaled,twitter-potentialConnectors-1-Balikatan_2022_Reduced,twitter-potentialConnectors-1-Balikatan_2022_Reduced-unscaled,twitter-potentialConsensusLeaders-1-Balikatan_2022_Reduced,twitter-potentialConsensusLeaders-1-Balikatan_2022_Reduced-unscaled,twitter-potentialConsensusLeaders-2-Balikatan_2022_Reduced,twitter-potentialConsensusLeaders-2-Balikatan_2022_Reduced-unscaled,twitter-potentialReach-1-Balikatan_2022_Reduced,twitter-potentialReach-1-Balikatan_2022_Reduced-unscaled,twitter-trustedSource-1-Balikatan_2022_Reduced,twitter-trustedSource-1-Balikatan_2022_Reduced-unscaled,twitter-wantsToBeInfluencer-1-Balikatan_2022_Reduced,twitter-wantsToBeInfluencer-1-Balikatan_2022_Reduced-unscaled,
3252386060,IIIMEF,0,0,0,0,0.005,52798,0,0,0.020,25,0,0,0,0,0,0,0,0,3.941e-05,438146.906,0,0,0,0,
1257299843950641153,Anan62712520,1.444e-04,2,0,0,2.948e-05,306,0.400,2,0,0,3.462e-05,306,0,10851.869,5.418e-04,0.139,3.398e-04,0.659,0,0,0,0,0.002,3,
4524190600,izw1041,1.444e-04,2,0,0,8.092e-06,84,0.400,2,0,0,9.504e-06,84,0,3007.571,5.418e-04,0.139,3.398e-04,0.659,0,0,0,0,0.002,3,
2888152751,ThaOfficialTJ,5.055e-04,7,0,0,2.273e-05,236,0.700,3.500,0,0,2.670e-05,236,1.497e-06,16640.367,0.001,0.316,7.369e-04,1.430,0,0,0,0,0.006,8,
1433556140051157005,Just_Alan2021,1.444e-04,2,0,0,1.445e-05,150,0.400,2,0,0,1.697e-05,150,0,5352.471,5.418e-04,0.139,3.398e-04,0.659,0,0,0,0,0.002,3,
1510023002137800704,Glomenaries88,7.221e-05,1,0,0,0,7,0.200,1,0,0,0,7,0,244.869,3.895e-04,0.100,5.728e-04,1.111,0,0,0,0,0.002,2,
1487155106328072199,DianaT192,0,0,0,0,8.381e-05,870,0,0,0,0,9.843e-05,870,0,870,2.382e-04,0.061,1.917e-04,0.372,0,0,0,0,7.949e-04,1,
1252341005417922561,S_Peace1082,7.221e-05,1,0,0,1.445e-06,15,0.200,1,0,0,1.697e-06,15,0,74.989,1.856e-04,0.048,4.366e-04,0.847,0,0,0,0,0.002,2,
1305951967722831872,32stCubano,7.221e-05,1,0,0,4.913e-06,51,0.200,1,0,0,5.770e-06,51,0,1778.566,3.895e-04,0.100,5.728e-04,1.111,0,0,0,0,0.002,2,
506912325,ANTHONY54W,2.888e-04,4,0,0,4.778e-05,496,0.160,0.800,0,0,5.612e-05,496,7.589e-06,84375.234,0.003,0.686,0.003,5.119,0,0,0,0,0.003,4,
