Node ID,stance,stance-confidence
100063830031607,0,0
997377347017958,0,0
873577023073330,1,1
100063567291972,1,1
343398993437354,0,0
100095218417389,0,0
100063657139721,0,0
100095218417385,0,0
100095218417393,0,0
100095218417381,0,0
100064589030184,0,0
100064702027752,1,1
100063806023601,1,1
100064838226804,0,0
100064235376716,0,0
100095218417432,0,0
638339689955827,0,0
758527130838303,0,0
1958954704425961,0,0
1882953505336449,0,0
542360492829939,0,0
100036867985782,0,0
601431369897042,0,0
125027674797206,0,0
470292256726933,0,0
100064953601364,0,0
25891432033,0,0
100095218417388,0,0
100063668225432,0,0
100058599047662,0,0
100063599022559,1,1
100064603093128,1,1
100064621572222,1,1
100095218417376,1,1
100095218417379,1,1
100069237698586,1,0.99833053
100095218417419,1,1
100064832312822,1,1
100095218417373,1,1
100078045076373,1,1
100069577612607,-1,0.6764706
100064901883781,-1,1
100064918204941,-1,1
100063966400794,1,0.9692308
100064496752176,0,0
100095218417386,0,0
100076368063971,0,0
100095218417387,0,0
100064604954956,1,1
100064655959834,1,1
100064423164435,0,0
100064282075832,1,1
100044143463992,1,1
100063654006885,1,1
100064556657647,1,1
100095218417407,1,1
100095218417439,0,0
100046765819666,0,0
100095218417455,0,0
100064528578751,0,0
100063592268262,0,0
100070873916888,0,0
100095218417437,0,0
100069561600242,0,0
100069114146960,0,0
100095218417438,0,0
100063653434557,0,0
100064753386109,0,0
100095218417436,0,0
100069066283066,0,0
100044469968091,0,0
100064785098236,1,1
100064046880081,1,1
100066659292449,1,1
100064984770069,1,1
100095218417403,1,1
100095218417413,1,1
100095218417414,1,1
100095218417418,1,1
100095218417421,1,1
100095218417422,1,1
100095218417423,1,1
100095218417429,1,1
100095218417434,1,1
100095218417435,1,1
100095218417443,1,1
100095218417445,1,1
100095218417466,1,1
100095218417467,1,1
100095218417476,1,1
100095218417477,1,1
100064510397545,0,0
100095218417377,0,0
100052297419283,0,0
100095218417415,0,0
100064434652019,0,0
100095218417394,0,0
100064651001303,0,0
100063563905136,0,0
100095218417464,0,0
100067715652691,0,0
100095218417428,0,0
100064874430651,0,0
100064990532045,0,0
100095218417395,0,0
100044280826772,0,0
100095218417396,0,0
100095218417397,0,0
100095218417398,0,0
100095218417399,0,0
100095218417383,0,0
100064303825279,0,0
100095218417425,0,0
100095218417382,0,0
100095218417457,0,0
100063979991782,0,0
100095218417420,0,0
100050172023170,0,0
100095218417465,0,0
100064383715647,1,0.97619045
100095218417456,0,0
100063609216985,0,0
100064855501369,0,0
100064429011521,0,0
100095218417473,0,0
100063685732843,0,0
100067172753430,0,0
100063700822412,0,0
100095218417374,0,0
100064352727103,0,0
100063942064823,0,0
100095218417474,0,0
100047378928222,0,0
100057394062218,0,0
100095218417411,0,0
100095218417468,0,0
100064531701031,0,0
100064944663433,0,0
100095218417424,0,0
100095218417478,0,0
100063026661464,0,0
100067742328476,0,0
100050603284291,0,0
100063868341169,0,0
100059642974022,0,0
1904450216506201,0,0
100063784981172,0,0
1731519756950378,0,0
100095218417472,0,0
100044186421534,0,0
100050488149828,0,0
100069084050329,0,0
624363868703856,1,1
100095218417412,0,0
100028422176510,0,0
100095218417406,0,0
100037144994542,0,0
100064382005850,0,0
100050635952673,0,0
100063754593507,0,0
100064472600906,0,0
100044229083967,0,0
100044599052058,0,0
100064860121662,0,0
100064709315257,0,0
100095218417442,0,0
100038756507736,0,0
100064495940992,0,0
100095218417447,0,0
100064068755654,0,0
100070857055843,1,1
100083111418422,0,0
100064373693996,0,0
100095218417408,0,0
100095218417452,0,0
61553621673678,0,0
100095218417459,-1,1
