AgentID,AgentLabel,Back-document-count,Back-avg-document-likelihood,Back-avg-document-strength,Build-document-count,Build-avg-document-likelihood,Build-avg-document-strength,Bridge-document-count,Bridge-avg-document-likelihood,Bridge-avg-document-strength,Boost-document-count,Boost-avg-document-likelihood,Boost-avg-document-strength,Excite-document-count,Excite-avg-document-likelihood,Excite-avg-document-strength,Engage-document-count,Engage-avg-document-likelihood,Engage-avg-document-strength,Explain-document-count,Explain-avg-document-likelihood,Explain-avg-document-strength,Enhance-document-count,Enhance-avg-document-likelihood,Enhance-avg-document-strength,Neutralize-document-count,Neutralize-avg-document-likelihood,Neutralize-avg-document-strength,Negate-document-count,Negate-avg-document-likelihood,Negate-avg-document-strength,Narrow-document-count,Narrow-avg-document-likelihood,Narrow-avg-document-strength,Neglect-document-count,Neglect-avg-document-likelihood,Neglect-avg-document-strength,Dismay-document-count,Dismay-avg-document-likelihood,Dismay-avg-document-strength,Dismiss-document-count,Dismiss-avg-document-likelihood,Dismiss-avg-document-strength,Distort-document-count,Distort-avg-document-likelihood,Distort-avg-document-strength,Distract-document-count,Distract-avg-document-likelihood,Distract-avg-document-strength
100069012428768,DZME1530,4,0.058,0.021,14,0.381,0.11,0,0,0,7,0.19,0.079,14,0.221,0.153,1,0.059,0.015,14,0.3,0.3,0,0,0,10,0.049,0.017,4,0.186,0.053,6,0.2,0.05,0,0,0,10,0.167,0.095,14,0.167,0.137,14,0.179,0.179,3,0.167,0.042
100064749126391,brigadanewsfmpalawan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064138746198,BrigadaNewsCdeO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710445832541836,Democratic WARRIORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417462,,1,0.189,0.181,1,0.611,0.25,1,0.333,0.4,1,0.593,0.528,1,0.588,0.485,1,0.078,0.078,1,0.3,0.3,1,0.222,0.167,1,0.081,0.027,1,0.231,0.077,1,0.333,0.3,0,0,0,1,0.211,0.105,1,0.25,0.156,1,0.167,0.042,0,0,0
100067786101011,thefreemannews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100063980856053,Brigadanewsfmbacolod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100095218417451,,0,0,0,19,0.333,0.083,0,0,0,0,0,0,0,0,0,0,0,0,19,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.125,0.031,1,0.167,0.042,0,0,0
100064778838852,KHPolitico360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064569284356,brigadakoronadal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100063788953856,,1,0.111,0.061,1,0.333,0.083,0,0,0,1,0.222,0.056,1,0.471,0.338,1,0.059,0.015,1,0.367,0.367,1,0.178,0.1,0,0,0,0,0,0,1,0.267,0.15,0,0,0,1,0.105,0.105,1,0.125,0.047,0,0,0,0,0,0
100095218417440,,1,0.078,0.078,1,0.444,0.167,1,0.333,0.3,1,0.519,0.472,1,0.294,0.235,0,0,0,1,0.3,0.3,1,0.178,0.167,1,0.063,0.063,1,0.128,0.154,0,0,0,0,0,0,1,0.105,0.105,1,0.146,0.099,1,0.167,0.042,0,0,0
100064760198548,gettyimages,1,0.078,0.044,1,0.5,0.125,0,0,0,1,0.222,0.111,1,0.255,0.167,1,0.078,0.034,1,0.3,0.3,0,0,0,1,0.027,0.007,1,0.077,0.019,0,0,0,0,0,0,1,0.105,0.066,0,0,0,0,0,0,0,0,0
